category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes
beli-harddisk-eksternal,Temon,5,,,"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,",0,0
beli-harddisk-eksternal,Yaya S.,5,,,barang tlah diterima kondisi baik,0,0
beli-harddisk-eksternal,Fidel A.,5,,null,null,0,0
beli-harddisk-eksternal,Mbah K.,5,,null,mantap,0,0
beli-harddisk-eksternal,Anggun B.,5,,mantaaabs barang ok,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Harun Z.,4,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Nicho P.,5,,null,"Barang sesuai deskripsi,penjual ramah,respon cepat..",1,1
beli-harddisk-eksternal,Muhammad R.,5,,null,"Packaging rapi, flashdiksnya ORI, kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai + barangnya datang sesuai tepat waktu. Makasih ya.. 😘",0,0
beli-harddisk-eksternal,Johann S.,5,,mantap,"flashdisknya sudah diterima dengan baik. kapasitas total 58,544,586,752 bytes dengan FAT32. menjadi 62,885,724,160 bytes kalau diformat dengan exFAT. write speed 10MB/s dan read 30 MB/s dengan port USB 2.0, belum dicoba dengan port usb 3.0.",1,1
beli-harddisk-eksternal,Dian A.,5,,null,"Terima kasih, barang bagus dan respon penjual sgt baik.",0,0
beli-harddisk-eksternal,Elisa P.,5,,Oke,"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke",1,1
beli-harddisk-eksternal,Michael O.,5,,recommended,pas cocok buat anda semua. bgus. sesuai deskripsi.,0,0
beli-harddisk-eksternal,Warya,5,,null,null,0,0
beli-harddisk-eksternal,Wawan D.,4,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Siti N.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Birger,5,,null,null,0,0
beli-harddisk-eksternal,ANWAR T.,5,,null,null,0,0
beli-harddisk-eksternal,ahmad T.,5,,null,null,0,0
beli-harddisk-eksternal,Novi A.,5,,null,PUAS,0,0
beli-harddisk-eksternal,achmad J.,5,,null,null,0,0
beli-harddisk-eksternal,Yanti,5,,ok banget,"flashdisk 64gb casing metal, baguss",0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,rizki E.,5,,null,Sesuai deskripsi,0,0
beli-harddisk-eksternal,fauzi A.,5,,null,"barang dah sampai, makasih",1,1
beli-harddisk-eksternal,Lazada Customer,5,,null,mantap barang gak minus sama sekali,0,0
beli-harddisk-eksternal,Febian M.,5,,null,"pengiriman cepat, packing cukup bagus",0,0
beli-harddisk-eksternal,Dirawan,5,,null,Biarkan bintang yang berbicara ... 👌👍,0,0
beli-harddisk-eksternal,Erwin J.,5,,null,"Barangnya ok, cepat sampai",0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,"Pengirimannya cepat, produk baik",0,0
beli-harddisk-eksternal,Chandra K.,5,,null,Barang  sesuai dengan deskripsi dan berfungsi baik.,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,"sampai cepat, barang sesuai.",0,0
beli-harddisk-eksternal,dwi S.,4,,express,dikirim hari berikutnya dan barang mulus,0,0
beli-harddisk-eksternal,Andrari G.,5,,null,null,0,0
beli-harddisk-eksternal,tetty N.,5,,null,null,0,0
beli-harddisk-eksternal,Septria I.,5,,null,null,0,0
beli-harddisk-eksternal,Dave M.,5,,null,null,0,0
beli-harddisk-eksternal,Fabiola A.,5,,null,null,0,0
beli-harddisk-eksternal,Lenka B.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Anggoro E.,5,,null,null,0,0
beli-harddisk-eksternal,Zaldy C.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Willyanda N.,5,,null,null,0,0
beli-harddisk-eksternal,herry P.,5,,null,oke,0,0
beli-harddisk-eksternal,Erlin D.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,4,,null,baik,0,0
